route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
28010 - 28169,8721,3041,8040,31743,más de 30 min,28010,28169,1
28010 - 28176,5172,2256,6180,20045,más de 30 min,28010,28176,10
28010 - 28177,4333,2094,8508,16838,más de 30 min,28010,28177,7
28010 - 28178,7528,2641,NA,28916,más de 30 min,28010,28178,1
28010 - 28181,8663,2096,7717,31234,más de 30 min,28010,28181,11
28010 - 28183,5884,2173,7500,19139,más de 30 min,28010,28183,2
28010 - 28903,7793,2438,6840,27553,más de 30 min,28010,28903,56
28011 - 28005,6949,2633,NA,21784,más de 30 min,28011,28005,8
28011 - 28006,12948,3042,NA,45589,más de 30 min,28011,28006,4
28011 - 28011,0,0,0,0,walking,28011,28011,22
28011 - 28014,5859,1687,NA,20072,driving_best_guess,28011,28014,20
28011 - 28033,4610,1334,NA,15010,driving_best_guess,28011,28033,2
28011 - 28035,2198,739,NA,7573,driving_best_guess,28011,28035,3
28011 - 28040,10171,3774,NA,37249,más de 30 min,28011,28040,1
28011 - 28049,9174,2761,NA,31024,más de 30 min,28011,28049,2
28011 - 28053,9707,2490,NA,32033,más de 30 min,28011,28053,1
28011 - 28055,4647,1516,NA,15951,driving_best_guess,28011,28055,1
28011 - 28065,11305,3286,NA,40758,más de 30 min,28011,28065,1
28011 - 28075,5496,1604,NA,18794,driving_best_guess,28011,28075,1
28011 - 28079,12489,3556,NA,40952,más de 30 min,28011,28079,2
28011 - 28079-01,12061,3579,NA,41268,más de 30 min,28011,28079-01,9
28011 - 28079-02,11346,2980,NA,40991,más de 30 min,28011,28079-02,3
28011 - 28079-03,11854,2961,NA,38539,más de 30 min,28011,28079-03,2
28011 - 28079-04,12359,3148,NA,40367,más de 30 min,28011,28079-04,3
28011 - 28079-05,13160,2988,NA,42333,más de 30 min,28011,28079-05,7
28011 - 28079-06,13180,3567,NA,42744,más de 30 min,28011,28079-06,3
28011 - 28079-07,13157,3587,NA,42383,más de 30 min,28011,28079-07,5
28011 - 28079-08,14923,3895,NA,52226,más de 30 min,28011,28079-08,3
28011 - 28079-09,12814,3358,NA,45276,más de 30 min,28011,28079-09,3
28011 - 28079-10,12460,3459,NA,43776,más de 30 min,28011,28079-10,2
28011 - 28079-11,12603,3298,NA,43281,más de 30 min,28011,28079-11,3
28011 - 28079-12,11300,3194,NA,40812,más de 30 min,28011,28079-12,1
28011 - 28079-13,10497,2932,NA,37707,más de 30 min,28011,28079-13,1
28011 - 28079-14,11292,2805,NA,37325,más de 30 min,28011,28079-14,3
28011 - 28079-15,12201,2716,NA,39334,más de 30 min,28011,28079-15,2
28011 - 28079-16,11685,2843,NA,40420,más de 30 min,28011,28079-16,1
28011 - 28079-18,9182,2324,NA,32572,más de 30 min,28011,28079-18,7
28011 - 28079-20,11519,2858,NA,37077,más de 30 min,28011,28079-20,2
28011 - 28079-21,10586,2921,NA,36917,más de 30 min,28011,28079-21,2
28011 - 28084,7007,2203,NA,24084,más de 30 min,28011,28084,2
28011 - 28091,6174,2116,NA,21561,más de 30 min,28011,28091,1
28011 - 28100,2779,749,NA,7553,driving_best_guess,28011,28100,2
28011 - 28101,2150,918,NA,5734,driving_best_guess,28011,28101,1
28011 - 28102,1402,521,NA,4827,bicycling,28011,28102,1
28011 - 28115,14166,3621,NA,49363,más de 30 min,28011,28115,2
28011 - 28123,7768,2344,NA,27477,más de 30 min,28011,28123,3
28011 - 28127,16168,3776,NA,55527,más de 30 min,28011,28127,4
28011 - 28130,8359,2405,NA,27928,más de 30 min,28011,28130,1
28011 - 28132,9283,2934,NA,32096,más de 30 min,28011,28132,1
28011 - 28148,7154,2225,NA,25608,más de 30 min,28011,28148,2
28011 - 28181,15995,3789,NA,54852,más de 30 min,28011,28181,1
28012 - 28002,5556,1608,NA,20776,driving_best_guess,28012,28002,4
28012 - 28004,17845,3654,NA,59112,más de 30 min,28012,28004,1
28012 - 28005,2208,1445,NA,8607,driving_best_guess,28012,28005,103
28012 - 28006,9411,2292,NA,33819,más de 30 min,28012,28006,4
28012 - 28007,13510,2857,NA,44150,más de 30 min,28012,28007,1
28012 - 28009,6783,1841,NA,23987,más de 30 min,28012,28009,1
28012 - 28012,0,0,0,0,walking,28012,28012,31
28012 - 28014,5196,1588,NA,19655,driving_best_guess,28012,28014,3
28012 - 28032,3920,1426,NA,13455,driving_best_guess,28012,28032,4
28012 - 28033,5077,1800,NA,16280,driving_best_guess,28012,28033,2
28012 - 28040,9881,3395,NA,37406,más de 30 min,28012,28040,2
28012 - 28041,6152,1726,NA,22781,driving_best_guess,28012,28041,1
28012 - 28043,11027,3224,NA,35546,más de 30 min,28012,28043,2
28012 - 28049,5979,1791,NA,22376,driving_best_guess,28012,28049,3
28012 - 28053,4966,1521,NA,18604,driving_best_guess,28012,28053,1
28012 - 28057,5427,1724,NA,18487,driving_best_guess,28012,28057,1
28012 - 28058,12867,2929,NA,44363,más de 30 min,28012,28058,1
28012 - 28065,10563,2792,NA,38569,más de 30 min,28012,28065,6
28012 - 28074,11990,2839,NA,41293,más de 30 min,28012,28074,2
28012 - 28075,3488,1177,NA,13231,driving_best_guess,28012,28075,5
28012 - 28079,9490,2931,NA,33203,más de 30 min,28012,28079,4
28012 - 28079-01,9577,2966,NA,33363,más de 30 min,28012,28079-01,8
28012 - 28079-02,10174,2403,NA,33747,más de 30 min,28012,28079-02,1
28012 - 28079-03,8848,2337,NA,30790,más de 30 min,28012,28079-03,5
28012 - 28079-04,9056,2679,NA,32619,más de 30 min,28012,28079-04,15
28012 - 28079-05,9541,2380,NA,34584,más de 30 min,28012,28079-05,9
28012 - 28079-06,9830,2761,NA,34995,más de 30 min,28012,28079-06,1
28012 - 28079-07,9773,2774,NA,34634,más de 30 min,28012,28079-07,3
28012 - 28079-08,12374,3035,NA,44104,más de 30 min,28012,28079-08,10
28012 - 28079-09,11642,2672,NA,37527,más de 30 min,28012,28079-09,6
28012 - 28079-10,11289,2886,NA,36348,más de 30 min,28012,28079-10,1
28012 - 28079-12,10128,2603,NA,34614,más de 30 min,28012,28079-12,5
