code,inside,outside,workers_count,inside_per,outside_per,places,statistical_zone,name,province,loc_string
28154,525,1855,2380,0.22058823529411764,0.7794117647058824,84,08,Torres de la Alameda,Madrid,Torres+de+la+Alameda+Madrid+spain
28155,22,131,153,0.1437908496732026,0.8562091503267973,36,08,Valdaracete,Madrid,Valdaracete+Madrid+spain
28156,40,406,446,0.08968609865470852,0.9103139013452914,57,07,Valdeavero,Madrid,Valdeavero+Madrid+spain
28157,26,180,206,0.1262135922330097,0.8737864077669902,53,08,Valdelaguna,Madrid,Valdelaguna+Madrid+spain
28158,42,192,234,0.1794871794871795,0.8205128205128205,54,06,Valdemanco,Madrid,Valdemanco+Madrid+spain
28159,33,138,171,0.19298245614035087,0.8070175438596491,41,10,Valdemaqueda,Madrid,Valdemaqueda+Madrid+spain
28160,676,3133,3809,0.17747440273037543,0.8225255972696246,99,11,Valdemorillo,Madrid,Valdemorillo+Madrid+spain
28161,5976,19434,25410,0.23518299881936244,0.7648170011806376,125,04,Valdemoro,Madrid,Valdemoro+Madrid+spain
28162,156,1104,1260,0.12380952380952381,0.8761904761904762,79,07,Valdeolmos-Alalpardo,Madrid,Valdeolmos-Alalpardo+Madrid+spain
28163,20,148,168,0.11904761904761904,0.8809523809523809,45,07,Valdepiélagos,Madrid,Valdepiélagos+Madrid+spain
28164,171,1133,1304,0.13113496932515337,0.8688650306748467,77,07,Valdetorres de Jarama,Madrid,Valdetorres+de+Jarama+Madrid+spain
28165,181,655,836,0.21650717703349281,0.7834928229665071,69,08,Valdilecha,Madrid,Valdilecha+Madrid+spain
28166,5,126,131,0.03816793893129771,0.9618320610687023,38,08,Valverde de Alcalá,Madrid,Valverde+de+Alcalá+Madrid+spain
28167,684,3856,4540,0.15066079295154186,0.8493392070484581,92,03,Velilla de San Antonio,Madrid,Velilla+de+San+Antonio+Madrid+spain
28168,43,536,579,0.07426597582037997,0.92573402417962,69,06,El Vellón,Madrid,El+Vellón+Madrid+spain
28169,71,433,504,0.14087301587301587,0.8591269841269841,62,06,Venturada,Madrid,Venturada+Madrid+spain
28170,251,581,832,0.3016826923076923,0.6983173076923077,66,08,Villaconejos,Madrid,Villaconejos+Madrid+spain
28171,492,1343,1835,0.2681198910081744,0.7318801089918257,87,09,Villa del Prado,Madrid,Villa+del+Prado+Madrid+spain
28172,421,3676,4097,0.10275811569441054,0.8972418843055895,93,08,Villalbilla,Madrid,Villalbilla+Madrid+spain
28173,26,148,174,0.14942528735632185,0.8505747126436781,47,08,Villamanrique de Tajo,Madrid,Villamanrique+de+Tajo+Madrid+spain
28174,132,487,619,0.21324717285945072,0.7867528271405493,64,09,Villamanta,Madrid,Villamanta+Madrid+spain
28175,68,341,409,0.16625916870415647,0.8337408312958435,65,09,Villamantilla,Madrid,Villamantilla+Madrid+spain
28176,1200,4690,5890,0.2037351443123939,0.7962648556876061,103,05,Villanueva de la Cañada,Madrid,Villanueva+de+la+Cañada+Madrid+spain
28177,850,5381,6231,0.1364147006900979,0.8635852993099021,99,11,Villanueva del Pardillo,Madrid,Villanueva+del+Pardillo+Madrid+spain
28178,51,418,469,0.10874200426439233,0.8912579957356077,63,09,Villanueva de Perales,Madrid,Villanueva+de+Perales+Madrid+spain
28179,43,539,582,0.07388316151202749,0.9261168384879725,76,08,Villar del Olmo,Madrid,Villar+del+Olmo+Madrid+spain
28180,797,1377,2174,0.36660533578656856,0.6333946642134315,85,08,Villarejo de Salvanés,Madrid,Villarejo+de+Salvanés+Madrid+spain
28181,1372,6520,7892,0.17384693360364928,0.8261530663963508,101,05,Villaviciosa de Odón,Madrid,Villaviciosa+de+Odón+Madrid+spain
28182,7,64,71,0.09859154929577464,0.9014084507042254,32,06,Villavieja del Lozoya,Madrid,Villavieja+del+Lozoya+Madrid+spain
28183,75,295,370,0.20270270270270271,0.7972972972972973,62,10,Zarzalejo,Madrid,Zarzalejo+Madrid+spain
28901,72,243,315,0.22857142857142856,0.7714285714285715,72,06,Lozoyuela-Navas-Sieteiglesias,Madrid,Lozoyuela-Navas-Sieteiglesias+Madrid+spain
