status,distance.value,duration.value,origin,origin_ine_code,dest_ine_code,destination
OK,47974,9814,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-03,"Retiro, Madrid, Spain"
OK,49385,10021,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-04,"Salamanca, Madrid, Spain"
OK,171145,38542,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-05,"05141 Chamartín, Ávila, Spain"
OK,52237,10796,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-06,"Tetuán, Madrid, Spain"
OK,52361,10739,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-07,"Chamberí, Madrid, Spain"
OK,55907,11774,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-08,"Fuencarral-El Pardo, 28048 Madrid, Spain"
OK,63561,12608,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-09,"Moncloa - Aravaca, Madrid, Spain"
OK,60704,12254,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-10,"Latina, Madrid, Spain"
OK,59710,12397,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-11,"Carabanchel, Madrid, Spain"
OK,55601,11094,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-12,"Usera, Madrid, Spain"
OK,50203,9906,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-13,"Puente de Vallecas, Madrid, Spain"
OK,46374,9334,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-14,"Moratalaz, 28030 Madrid, Spain"
OK,47063,9630,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-15,"Ciudad Lineal, Madrid, Spain"
OK,46328,9456,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-16,"Hortaleza, Madrid, Spain"
OK,57073,11416,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-17,"Villaverde, Madrid, Spain"
OK,44652,8560,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-18,"Villa de Vallecas, Madrid, Spain"
OK,41592,8073,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-19,"Vicálvaro, Madrid, Spain"
OK,42046,8432,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-20,"San Blas, Madrid, Spain"
OK,42036,8255,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-21,"Barajas, 28042 Madrid, Spain"
OK,75848,15471,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28080,"Majadahonda, Madrid, Spain"
OK,5750,1210,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28083,"28880 Meco, Madrid, Spain"
OK,33000,6145,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28084,"Mejorada del Campo, Madrid, Spain"
OK,74857,15194,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28089,"28950 Moraleja de Enmedio, Madrid, Spain"
OK,76896,17006,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28090,"Moralzarzal, Madrid, Spain"
OK,77399,15654,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28092,"Móstoles, Madrid, Spain"
OK,104966,21826,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28095,"28212 Navalagamella, Madrid, Spain"
OK,91975,18452,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28096,"Navalcarnero, 28600, Madrid, Spain"
OK,30590,7102,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28100,"28514 Nuevo Baztán, Madrid, Spain"
OK,27858,6283,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28104,"Paracuellos de Jarama, Madrid, Spain"
OK,68478,13092,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28106,"Parla, Madrid, Spain"
OK,62207,11877,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28113,"28320 Pinto, Madrid, Spain"
OK,69414,13960,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28115,"Pozuelo de Alarcón, Madrid, Spain"
OK,43147,8408,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28123,"Rivas-Vaciamadrid, Madrid, Spain"
OK,78465,15962,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28127,"Las Rozas, Madrid, Spain"
OK,43264,9248,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28129,"28750 San Agustín del Guadalix, Madrid, Spain"
OK,30363,6023,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28130,"San Fernando de Henares, 28830, Madrid, Spain"
OK,54804,10669,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28132,"28330 San Martín de la Vega, Madrid, Spain"
OK,34146,7175,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28134,"San Sebastián de los Reyes, Madrid, Spain"
OK,11056,3236,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28137,"28817 Los Santos de la Humosa, Madrid, Spain"
OK,74828,17143,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28138,"28737 La Serna del Monte, Madrid, Spain"
OK,32937,6913,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28145,"28160 Talamanca de Jarama, Madrid, Spain"
OK,46025,9690,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28146,"28550 Tielmes, Madrid, Spain"
OK,24828,4609,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28148,"Torrejón de Ardoz, Madrid, Spain"
OK,24647,5167,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28154,"28813 Torres de la Alameda, Madrid, Spain"
OK,10529,2572,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28156,"Valdeavero, Madrid, Spain"
OK,68715,13160,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28161,"Valdemoro, Madrid, Spain"
OK,23922,5216,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28162,"28130 Valdeolmos-Alalpardo, Madrid, Spain"
OK,39580,8530,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28165,"28511 Valdilecha, Madrid, Spain"
OK,36539,6789,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28167,"Velilla de San Antonio, Madrid, Spain"
OK,50095,10974,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28169,"28729 Venturada, Madrid, Spain"
OK,24357,5154,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28172,"28810 Villalbilla, Madrid, Spain"
OK,86458,17621,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28177,"Villanueva del Pardillo, 28229, Madrid, Spain"
OK,78878,15789,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28181,"Villaviciosa de Odón, Madrid, Spain"
OK,52837,11469,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28903,"28760 Tres Cantos, Madrid, Spain"
OK,31770,6682,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28002,"28864 Ajalvir, Madrid, Spain"
OK,106291,20762,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28004,"28607 El Álamo, Madrid, Spain"
OK,25551,4613,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28005,"Alcala de Henares, Madrid, Spain"
OK,45425,9634,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28006,"Alcobendas, Madrid, Spain"
OK,80412,16427,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28007,"Alcorcón, Madrid, Spain"
OK,30793,6641,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28009,"28110 Algete, Madrid, Spain"
OK,27217,6271,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28012,"28818 Anchuelo, Madrid, Spain"
OK,88106,16660,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28013,"28300 Aranjuez, Madrid, Spain"
OK,48408,9515,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28014,"Arganda del Rey, 28500, Madrid, Spain"
OK,96701,19289,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28015,"28939 Arroyomolinos, Madrid, Spain"
OK,87433,17654,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28022,"Boadilla del Monte, Madrid, Spain"
OK,58884,12462,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28025,"28596 Brea de Tajo, Madrid, Spain"
OK,20541,3915,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28032,"28816 Camarma de Esteruelas, Madrid, Spain"
OK,45322,9694,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28033,"28510 Campo Real, Madrid, Spain"
OK,90854,20723,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28038,"Cercedilla, Madrid, Spain"
OK,33786,7151,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28041,"28863 Cobeña, Madrid, Spain"
OK,60753,13261,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28045,"28770 Colmenar Viejo, Madrid, Spain"
OK,32447,7360,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28048,"28811 Corpa, Madrid, Spain"
OK,46808,8896,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28049,"Coslada, Madrid, Spain"
OK,29001,5992,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28053,"28814 Daganzo de Arriba, Madrid, Spain"
OK,79176,15784,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28058,"Fuenlabrada, Madrid, Spain"
OK,30438,6302,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28059,"28140 Fuente el Saz de Jarama, Madrid, Spain"
OK,89232,19351,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28061,"Galapagar, Madrid, Spain"
OK,71247,13481,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28065,"Getafe, Madrid, Spain"
OK,91147,17183,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28066,"28971 Griñón, Madrid, Spain"
