route,origin_ine_code,destination_ine_code,workers_count
19117 - 28127,19117,28127,1
19117 - 28130,19117,28130,3
19117 - 28148,19117,28148,1
19117 - 28172,19117,28172,2
19117 - 28903,19117,28903,2
19126 - 28002,19126,28002,10
19126 - 28005,19126,28005,56
19126 - 28006,19126,28006,25
19126 - 28007,19126,28007,7
19126 - 28009,19126,28009,9
19126 - 28011,19126,28011,1
19126 - 28013,19126,28013,2
19126 - 28014,19126,28014,6
19126 - 28022,19126,28022,2
19126 - 28032,19126,28032,3
19126 - 28040,19126,28040,1
19126 - 28041,19126,28041,3
19126 - 28045,19126,28045,2
19126 - 28049,19126,28049,4
19126 - 28053,19126,28053,5
19126 - 28058,19126,28058,1
19126 - 28059,19126,28059,1
19126 - 28065,19126,28065,2
19126 - 28074,19126,28074,2
19126 - 28075,19126,28075,1
19126 - 28079,19126,28079,2
19126 - 28079-01,19126,28079-01,5
19126 - 28079-02,19126,28079-02,7
19126 - 28079-03,19126,28079-03,3
19126 - 28079-04,19126,28079-04,13
19126 - 28079-05,19126,28079-05,12
19126 - 28079-06,19126,28079-06,10
19126 - 28079-07,19126,28079-07,7
19126 - 28079-08,19126,28079-08,14
19126 - 28079-09,19126,28079-09,3
19126 - 28079-11,19126,28079-11,1
19126 - 28079-13,19126,28079-13,6
19126 - 28079-15,19126,28079-15,11
19126 - 28079-16,19126,28079-16,6
19126 - 28079-17,19126,28079-17,1
19126 - 28079-18,19126,28079-18,4
19126 - 28079-20,19126,28079-20,16
19126 - 28079-21,19126,28079-21,25
19126 - 28080,19126,28080,2
19126 - 28083,19126,28083,5
19126 - 28092,19126,28092,1
19126 - 28096,19126,28096,1
19126 - 28104,19126,28104,6
19126 - 28108,19126,28108,1
19126 - 28115,19126,28115,6
19126 - 28122,19126,28122,2
19126 - 28123,19126,28123,1
19126 - 28127,19126,28127,2
19126 - 28130,19126,28130,4
19126 - 28134,19126,28134,3
19126 - 28145,19126,28145,1
19126 - 28148,19126,28148,15
19126 - 28149,19126,28149,1
19126 - 28154,19126,28154,1
19126 - 28162,19126,28162,2
19126 - 28164,19126,28164,1
19126 - 28172,19126,28172,1
19126 - 28903,19126,28903,5
19130 - 28001,19130,28001,4
19130 - 28002,19130,28002,51
19130 - 28003,19130,28003,1
19130 - 28004,19130,28004,30
19130 - 28005,19130,28005,1320
19130 - 28006,19130,28006,398
19130 - 28007,19130,28007,51
19130 - 28009,19130,28009,24
19130 - 28010,19130,28010,1
19130 - 28011,19130,28011,1
19130 - 28012,19130,28012,3
19130 - 28013,19130,28013,98
19130 - 28014,19130,28014,49
19130 - 28015,19130,28015,11
19130 - 28016,19130,28016,2
19130 - 28017,19130,28017,1
19130 - 28019,19130,28019,1
19130 - 28020,19130,28020,1
19130 - 28022,19130,28022,20
19130 - 28024,19130,28024,7
19130 - 28025,19130,28025,3
19130 - 28026,19130,28026,1
19130 - 28027,19130,28027,4
19130 - 28028,19130,28028,2
19130 - 28032,19130,28032,31
19130 - 28033,19130,28033,6
19130 - 28035,19130,28035,1
19130 - 28037,19130,28037,6
19130 - 28038,19130,28038,1
19130 - 28040,19130,28040,14
19130 - 28041,19130,28041,6
19130 - 28044,19130,28044,7
19130 - 28045,19130,28045,24
19130 - 28046,19130,28046,3
19130 - 28047,19130,28047,24
19130 - 28048,19130,28048,1
19130 - 28049,19130,28049,113
19130 - 28052,19130,28052,1
19130 - 28053,19130,28053,17
19130 - 28055,19130,28055,5
19130 - 28057,19130,28057,1
19130 - 28058,19130,28058,57
19130 - 28059,19130,28059,3
19130 - 28060,19130,28060,1
19130 - 28061,19130,28061,9
19130 - 28065,19130,28065,84
19130 - 28066,19130,28066,3
19130 - 28067,19130,28067,2
19130 - 28068,19130,28068,4
19130 - 28072,19130,28072,3
19130 - 28073,19130,28073,7
19130 - 28074,19130,28074,49
19130 - 28075,19130,28075,16
