status,distance,duration,origin,destination,mode,traffic,departure_time,origin_ine_code,dest_ine_code,duration_in_traffic
OK,54647,4892,"19200 Azuqueca de Henares, Guadalajara, Spain","Hortaleza, Madrid, Spain",transit,NA,1530000000,19046,28079-16,NA
OK,55755,4733,"19200 Azuqueca de Henares, Guadalajara, Spain","Villaverde, Madrid, Spain",transit,NA,1530000000,19046,28079-17,NA
OK,40000,3810,"19200 Azuqueca de Henares, Guadalajara, Spain","Villa de Vallecas, Madrid, Spain",transit,NA,1530000000,19046,28079-18,NA
OK,35700,3578,"19200 Azuqueca de Henares, Guadalajara, Spain","Vicálvaro, Madrid, Spain",transit,NA,1530000000,19046,28079-19,NA
OK,37431,4049,"19200 Azuqueca de Henares, Guadalajara, Spain","San Blas, Madrid, Spain",transit,NA,1530000000,19046,28079-20,NA
OK,36215,4684,"19200 Azuqueca de Henares, Guadalajara, Spain","Barajas, 28042 Madrid, Spain",transit,NA,1530000000,19046,28079-21,NA
OK,79308,9840,"19200 Azuqueca de Henares, Guadalajara, Spain","Majadahonda, Madrid, Spain",transit,NA,1530000000,19046,28080,NA
OK,21039,3201,"19200 Azuqueca de Henares, Guadalajara, Spain","28880 Meco, Madrid, Spain",transit,NA,1530000000,19046,28083,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","Mejorada del Campo, Madrid, Spain",transit,NA,1530000000,19046,28084,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28950 Moraleja de Enmedio, Madrid, Spain",transit,NA,1530000000,19046,28089,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","Moralzarzal, Madrid, Spain",transit,NA,1530000000,19046,28090,NA
OK,66797,6114,"19200 Azuqueca de Henares, Guadalajara, Spain","Móstoles, Madrid, Spain",transit,NA,1530000000,19046,28092,NA
OK,91584,7500,"19200 Azuqueca de Henares, Guadalajara, Spain","28212 Navalagamella, Madrid, Spain",transit,NA,1530000000,19046,28095,NA
OK,78942,7569,"19200 Azuqueca de Henares, Guadalajara, Spain","Navalcarnero, 28600, Madrid, Spain",transit,NA,1530000000,19046,28096,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28514 Nuevo Baztán, Madrid, Spain",transit,NA,1530000000,19046,28100,NA
OK,43532,5760,"19200 Azuqueca de Henares, Guadalajara, Spain","Paracuellos de Jarama, Madrid, Spain",transit,NA,1530000000,19046,28104,NA
OK,70404,5705,"19200 Azuqueca de Henares, Guadalajara, Spain","Parla, Madrid, Spain",transit,NA,1530000000,19046,28106,NA
OK,65552,5940,"19200 Azuqueca de Henares, Guadalajara, Spain","28320 Pinto, Madrid, Spain",transit,NA,1530000000,19046,28113,NA
OK,83190,6780,"19200 Azuqueca de Henares, Guadalajara, Spain","Pozuelo de Alarcón, Madrid, Spain",transit,NA,1530000000,19046,28115,NA
OK,44958,3734,"19200 Azuqueca de Henares, Guadalajara, Spain","Rivas-Vaciamadrid, Madrid, Spain",transit,NA,1530000000,19046,28123,NA
OK,68766,5760,"19200 Azuqueca de Henares, Guadalajara, Spain","Las Rozas, Madrid, Spain",transit,NA,1530000000,19046,28127,NA
OK,78926,7680,"19200 Azuqueca de Henares, Guadalajara, Spain","28750 San Agustín del Guadalix, Madrid, Spain",transit,NA,1530000000,19046,28129,NA
OK,35403,4086,"19200 Azuqueca de Henares, Guadalajara, Spain","San Fernando de Henares, 28830, Madrid, Spain",transit,NA,1530000000,19046,28130,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28330 San Martín de la Vega, Madrid, Spain",transit,NA,1530000000,19046,28132,NA
OK,69466,7668,"19200 Azuqueca de Henares, Guadalajara, Spain","San Sebastián de los Reyes, Madrid, Spain",transit,NA,1530000000,19046,28134,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28817 Los Santos de la Humosa, Madrid, Spain",transit,NA,1530000000,19046,28137,NA
OK,130103,15840,"19200 Azuqueca de Henares, Guadalajara, Spain","28737 La Serna del Monte, Madrid, Spain",transit,NA,1530000000,19046,28138,NA
OK,90115,8880,"19200 Azuqueca de Henares, Guadalajara, Spain","28160 Talamanca de Jarama, Madrid, Spain",transit,NA,1530000000,19046,28145,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28550 Tielmes, Madrid, Spain",transit,NA,1530000000,19046,28146,NA
OK,22154,1560,"19200 Azuqueca de Henares, Guadalajara, Spain","Torrejón de Ardoz, Madrid, Spain",transit,NA,1530000000,19046,28148,NA
OK,23173,3660,"19200 Azuqueca de Henares, Guadalajara, Spain","28813 Torres de la Alameda, Madrid, Spain",transit,NA,1530000000,19046,28154,NA
OK,30475,4130,"19200 Azuqueca de Henares, Guadalajara, Spain","Valdeavero, Madrid, Spain",transit,NA,1530000000,19046,28156,NA
OK,71855,6240,"19200 Azuqueca de Henares, Guadalajara, Spain","Valdemoro, Madrid, Spain",transit,NA,1530000000,19046,28161,NA
OK,45641,5340,"19200 Azuqueca de Henares, Guadalajara, Spain","28130 Valdeolmos-Alalpardo, Madrid, Spain",transit,NA,1530000000,19046,28162,NA
