status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,78538,3289,3371,"19200 Azuqueca de Henares, Guadalajara, Spain","28597 Fuentidueña de Tajo, Madrid, Spain",driving,best_guess,1530000000
OK,82378,3801,3908,"19200 Azuqueca de Henares, Guadalajara, Spain","Galapagar, Madrid, Spain",driving,best_guess,1530000000
OK,59292,2711,2760,"19200 Azuqueca de Henares, Guadalajara, Spain","Getafe, Madrid, Spain",driving,best_guess,1530000000
OK,83084,3284,3363,"19200 Azuqueca de Henares, Guadalajara, Spain","28971 Griñón, Madrid, Spain",driving,best_guess,1530000000
OK,73234,3019,3119,"19200 Azuqueca de Henares, Guadalajara, Spain","28794 Guadalix de la Sierra, Madrid, Spain",driving,best_guess,1530000000
OK,94834,4025,4148,"19200 Azuqueca de Henares, Guadalajara, Spain","Guadarrama, 28440, Madrid, Spain",driving,best_guess,1530000000
OK,72472,3088,3159,"19200 Azuqueca de Henares, Guadalajara, Spain","Humanes de Madrid, Madrid, Spain",driving,best_guess,1530000000
OK,64707,2759,2806,"19200 Azuqueca de Henares, Guadalajara, Spain","Leganés, Madrid, Spain",driving,best_guess,1530000000
OK,31596,1615,1680,"19200 Azuqueca de Henares, Guadalajara, Spain","28890 Loeches, Madrid, Spain",driving,best_guess,1530000000
OK,49139,2714,2899,"19200 Azuqueca de Henares, Guadalajara, Spain","Madrid, Spain",driving,best_guess,1530000000
OK,49174,2730,2934,"19200 Azuqueca de Henares, Guadalajara, Spain","Centro, Madrid, Spain",driving,best_guess,1530000000
OK,51125,2343,2369,"19200 Azuqueca de Henares, Guadalajara, Spain","Arganzuela, Madrid, Spain",driving,best_guess,1530000000
OK,46166,2268,2304,"19200 Azuqueca de Henares, Guadalajara, Spain","Retiro, Madrid, Spain",driving,best_guess,1530000000
OK,44149,2344,2647,"19200 Azuqueca de Henares, Guadalajara, Spain","Salamanca, Madrid, Spain",driving,best_guess,1530000000
OK,182013,6932,7099,"19200 Azuqueca de Henares, Guadalajara, Spain","05141 Chamartín, Ávila, Spain",driving,best_guess,1530000000
OK,46136,2536,2729,"19200 Azuqueca de Henares, Guadalajara, Spain","Tetuán, Madrid, Spain",driving,best_guess,1530000000
OK,45685,2488,2743,"19200 Azuqueca de Henares, Guadalajara, Spain","Chamberí, Madrid, Spain",driving,best_guess,1530000000
OK,59833,2830,2985,"19200 Azuqueca de Henares, Guadalajara, Spain","Fuencarral-El Pardo, 28048 Madrid, Spain",driving,best_guess,1530000000
OK,60679,2523,2622,"19200 Azuqueca de Henares, Guadalajara, Spain","Moncloa - Aravaca, Madrid, Spain",driving,best_guess,1530000000
OK,54357,2821,2853,"19200 Azuqueca de Henares, Guadalajara, Spain","Latina, Madrid, Spain",driving,best_guess,1530000000
OK,54992,2650,2675,"19200 Azuqueca de Henares, Guadalajara, Spain","Carabanchel, Madrid, Spain",driving,best_guess,1530000000
OK,52902,2534,2571,"19200 Azuqueca de Henares, Guadalajara, Spain","Usera, Madrid, Spain",driving,best_guess,1530000000
OK,48151,2316,2348,"19200 Azuqueca de Henares, Guadalajara, Spain","Puente de Vallecas, Madrid, Spain",driving,best_guess,1530000000
OK,44692,2074,2114,"19200 Azuqueca de Henares, Guadalajara, Spain","Moratalaz, 28030 Madrid, Spain",driving,best_guess,1530000000
OK,40212,1885,1927,"19200 Azuqueca de Henares, Guadalajara, Spain","Ciudad Lineal, Madrid, Spain",driving,best_guess,1530000000
OK,40136,1913,1958,"19200 Azuqueca de Henares, Guadalajara, Spain","Hortaleza, Madrid, Spain",driving,best_guess,1530000000
OK,53644,2580,2635,"19200 Azuqueca de Henares, Guadalajara, Spain","Villaverde, Madrid, Spain",driving,best_guess,1530000000
OK,45081,1761,1796,"19200 Azuqueca de Henares, Guadalajara, Spain","Villa de Vallecas, Madrid, Spain",driving,best_guess,1530000000
OK,44407,2190,2223,"19200 Azuqueca de Henares, Guadalajara, Spain","Vicálvaro, Madrid, Spain",driving,best_guess,1530000000
OK,39390,1977,2018,"19200 Azuqueca de Henares, Guadalajara, Spain","San Blas, Madrid, Spain",driving,best_guess,1530000000
OK,37706,1852,1896,"19200 Azuqueca de Henares, Guadalajara, Spain","Barajas, 28042 Madrid, Spain",driving,best_guess,1530000000
OK,66715,2850,2956,"19200 Azuqueca de Henares, Guadalajara, Spain","Majadahonda, Madrid, Spain",driving,best_guess,1530000000
OK,5750,433,444,"19200 Azuqueca de Henares, Guadalajara, Spain","28880 Meco, Madrid, Spain",driving,best_guess,1530000000
OK,30665,1615,1671,"19200 Azuqueca de Henares, Guadalajara, Spain","Mejorada del Campo, Madrid, Spain",driving,best_guess,1530000000
OK,76753,3063,3147,"19200 Azuqueca de Henares, Guadalajara, Spain","28950 Moraleja de Enmedio, Madrid, Spain",driving,best_guess,1530000000
OK,86397,3728,3868,"19200 Azuqueca de Henares, Guadalajara, Spain","Moralzarzal, Madrid, Spain",driving,best_guess,1530000000
OK,68947,3122,3165,"19200 Azuqueca de Henares, Guadalajara, Spain","Móstoles, Madrid, Spain",driving,best_guess,1530000000
OK,96123,4122,4259,"19200 Azuqueca de Henares, Guadalajara, Spain","28212 Navalagamella, Madrid, Spain",driving,best_guess,1530000000
OK,80476,3335,3385,"19200 Azuqueca de Henares, Guadalajara, Spain","Navalcarnero, 28600, Madrid, Spain",driving,best_guess,1530000000
OK,47198,2363,2482,"19200 Azuqueca de Henares, Guadalajara, Spain","28514 Nuevo Baztán, Madrid, Spain",driving,best_guess,1530000000
OK,38220,1734,1770,"19200 Azuqueca de Henares, Guadalajara, Spain","Paracuellos de Jarama, Madrid, Spain",driving,best_guess,1530000000
OK,68754,2856,2909,"19200 Azuqueca de Henares, Guadalajara, Spain","Parla, Madrid, Spain",driving,best_guess,1530000000
OK,63581,2521,2568,"19200 Azuqueca de Henares, Guadalajara, Spain","28320 Pinto, Madrid, Spain",driving,best_guess,1530000000
OK,61328,2614,2711,"19200 Azuqueca de Henares, Guadalajara, Spain","Pozuelo de Alarcón, Madrid, Spain",driving,best_guess,1530000000
OK,47341,2157,2196,"19200 Azuqueca de Henares, Guadalajara, Spain","Rivas-Vaciamadrid, Madrid, Spain",driving,best_guess,1530000000
OK,66036,2768,2868,"19200 Azuqueca de Henares, Guadalajara, Spain","Las Rozas, Madrid, Spain",driving,best_guess,1530000000
OK,49455,2171,2222,"19200 Azuqueca de Henares, Guadalajara, Spain","28750 San Agustín del Guadalix, Madrid, Spain",driving,best_guess,1530000000
OK,34383,1520,1550,"19200 Azuqueca de Henares, Guadalajara, Spain","San Fernando de Henares, 28830, Madrid, Spain",driving,best_guess,1530000000
OK,64870,2912,3064,"19200 Azuqueca de Henares, Guadalajara, Spain","28330 San Martín de la Vega, Madrid, Spain",driving,best_guess,1530000000
OK,39688,1941,1985,"19200 Azuqueca de Henares, Guadalajara, Spain","San Sebastián de los Reyes, Madrid, Spain",driving,best_guess,1530000000
OK,11466,765,800,"19200 Azuqueca de Henares, Guadalajara, Spain","28817 Los Santos de la Humosa, Madrid, Spain",driving,best_guess,1530000000
OK,93792,3505,3567,"19200 Azuqueca de Henares, Guadalajara, Spain","28737 La Serna del Monte, Madrid, Spain",driving,best_guess,1530000000
OK,35766,2295,2440,"19200 Azuqueca de Henares, Guadalajara, Spain","28160 Talamanca de Jarama, Madrid, Spain",driving,best_guess,1530000000
OK,50067,2698,2793,"19200 Azuqueca de Henares, Guadalajara, Spain","28550 Tielmes, Madrid, Spain",driving,best_guess,1530000000
OK,24884,1484,1528,"19200 Azuqueca de Henares, Guadalajara, Spain","Torrejón de Ardoz, Madrid, Spain",driving,best_guess,1530000000
OK,29232,1505,1588,"19200 Azuqueca de Henares, Guadalajara, Spain","28813 Torres de la Alameda, Madrid, Spain",driving,best_guess,1530000000
OK,16716,1508,1589,"19200 Azuqueca de Henares, Guadalajara, Spain","Valdeavero, Madrid, Spain",driving,best_guess,1530000000
OK,66704,2609,2661,"19200 Azuqueca de Henares, Guadalajara, Spain","Valdemoro, Madrid, Spain",driving,best_guess,1530000000
OK,32170,2029,2119,"19200 Azuqueca de Henares, Guadalajara, Spain","28130 Valdeolmos-Alalpardo, Madrid, Spain",driving,best_guess,1530000000
OK,43965,2353,2445,"19200 Azuqueca de Henares, Guadalajara, Spain","28511 Valdilecha, Madrid, Spain",driving,best_guess,1530000000
OK,34336,1824,1868,"19200 Azuqueca de Henares, Guadalajara, Spain","Velilla de San Antonio, Madrid, Spain",driving,best_guess,1530000000
OK,65855,2628,2686,"19200 Azuqueca de Henares, Guadalajara, Spain","28729 Venturada, Madrid, Spain",driving,best_guess,1530000000
OK,28726,1658,1720,"19200 Azuqueca de Henares, Guadalajara, Spain","28810 Villalbilla, Madrid, Spain",driving,best_guess,1530000000
OK,78973,3598,3706,"19200 Azuqueca de Henares, Guadalajara, Spain","Villanueva del Pardillo, 28229, Madrid, Spain",driving,best_guess,1530000000
OK,73704,3125,3166,"19200 Azuqueca de Henares, Guadalajara, Spain","Villaviciosa de Odón, Madrid, Spain",driving,best_guess,1530000000
OK,56070,2434,2538,"19200 Azuqueca de Henares, Guadalajara, Spain","28760 Tres Cantos, Madrid, Spain",driving,best_guess,1530000000
